City,Urban Density (Per hect….),Total Transportation Energy
Houston,15,71624
Pheonix,16,64641
San Francisco,25,65890
Denver,21,68286
Los Angeles,36,62167
Detroit,21,62744
Boston,19,58391
Washington,23,60454
Chicago,25,56121
New York,30,51626
Perth,15,44995
Brisbane,14,41395
Melbourne,21,39277
Sydney,24,37103
Toronto,65,33613
Frankfurt,90,38293
Brussels,122,28895
Hamburg,64,36716
Zurich,82,25244
Stockholm,92,26817
Vienna,106,20603
Copenhagen,45,20385
Paris,68,24241
Munich,91,18107
Perth,21,41395
Amsterdam,137,19843
London,101,23374
Singapore,136,18079
Tokyo,178,18243
Hong Kong,440,9612
